ntree,maxnodes,nodesize,mtry,accTa,accTe
250,700,3,1,0.90976,0.86848
260,700,3,1,0.91091,0.86766
270,700,3,1,0.91038,0.86827
280,700,3,1,0.9102,0.86931
290,700,3,1,0.91038,0.86889
300,700,3,1,0.91055,0.86827
10,800,3,1,0.91558,0.85591
20,800,3,1,0.92291,0.86663
30,800,3,1,0.92636,0.8726
40,800,3,1,0.92936,0.87508
50,800,3,1,0.92901,0.87631
60,800,3,1,0.92715,0.87652
70,800,3,1,0.92768,0.87549
80,800,3,1,0.92733,0.87652
90,800,3,1,0.92839,0.87673
100,800,3,1,0.92733,0.87528
110,800,3,1,0.92715,0.87363
120,800,3,1,0.92689,0.87281
130,800,3,1,0.92742,0.87384
140,800,3,1,0.92733,0.87405
150,800,3,1,0.92698,0.87425
160,800,3,1,0.92786,0.87487
170,800,3,1,0.92751,0.87467
180,800,3,1,0.92706,0.87425
190,800,3,1,0.92742,0.87508
200,800,3,1,0.92777,0.87487
210,800,3,1,0.92777,0.87487
220,800,3,1,0.92715,0.87363
230,800,3,1,0.92715,0.87405
240,800,3,1,0.92706,0.87425
250,800,3,1,0.92724,0.87405
260,800,3,1,0.92689,0.87384
270,800,3,1,0.92636,0.87322
280,800,3,1,0.92636,0.87281
290,800,3,1,0.92671,0.87363
300,800,3,1,0.92662,0.87425
10,900,3,1,0.9336,0.86621
20,900,3,1,0.94084,0.87838
30,900,3,1,0.9419,0.88229
40,900,3,1,0.9419,0.88435
50,900,3,1,0.94243,0.8827
60,900,3,1,0.94208,0.88394
70,900,3,1,0.9434,0.88435
80,900,3,1,0.9434,0.88456
90,900,3,1,0.9426,0.8858
100,900,3,1,0.94322,0.88374
110,900,3,1,0.94234,0.88353
120,900,3,1,0.94411,0.88642
130,900,3,1,0.94402,0.88415
140,900,3,1,0.9449,0.88559
150,900,3,1,0.94481,0.88518
160,900,3,1,0.94411,0.88353
170,900,3,1,0.94499,0.88374
180,900,3,1,0.94578,0.88435
190,900,3,1,0.94561,0.88559
200,900,3,1,0.94587,0.8858
210,900,3,1,0.94508,0.886
220,900,3,1,0.94561,0.88724
230,900,3,1,0.94543,0.88806
240,900,3,1,0.94578,0.88786
250,900,3,1,0.9464,0.88703
260,900,3,1,0.94508,0.88683
270,900,3,1,0.94517,0.88621
280,900,3,1,0.94534,0.88683
290,900,3,1,0.94499,0.88662
300,900,3,1,0.94472,0.88745
10,1000,3,1,0.94879,0.88064
20,1000,3,1,0.95364,0.88662
30,1000,3,1,0.9562,0.89404
40,1000,3,1,0.95735,0.89363
